date,Mkt-RF,SMB,HML,RF,Mom,ST_Rev,LT_Rev
201804,0.29,0.91,0.48,0.14,0.36,-0.78,2.83
201805,2.65,4.79,-3.13,0.14,3.87,-0.12,-0.24
201806,0.48,0.81,-2.33,0.14,-2.33,0.65,0.92
201807,3.19,-1.95,0.45,0.16,-1.43,1.73,-1.48
201808,3.44,0.63,-3.98,0.16,5.28,1.52,-2.79
201809,0.06,-2.5,-1.7,0.15,0.03,0.08,1.85
201810,-7.68,-4.5,3.43,0.19,-2.06,1.27,-1.63
201811,1.69,-0.76,0.26,0.18,-1.41,1.26,-4.02
201812,-9.55,-2.91,-1.9,0.19,2.12,-1.64,-2.76
201901,8.41,3.01,-0.44,0.21,-8.65,8.19,2.24
201902,3.4,1.73,-2.68,0.18,0.85,-0.06,-0.65
201903,1.1,-3.46,-4.05,0.19,2.16,0.09,-0.82
201904,3.96,-1.17,2.17,0.21,-2.96,0.88,-3.03
201905,-6.94,-1.59,-2.37,0.21,7.56,0.8,-4.38
201906,6.93,0.32,-0.71,0.18,-2.23,3.79,-0.38
201907,1.19,-1.78,0.42,0.19,2.9,-0.19,-3.14
201908,-2.58,-3.22,-4.95,0.16,7.47,-2.32,-5.11
201909,1.43,0.27,6.83,0.18,-6.81,5.04,2.73
201910,2.06,0.27,-1.93,0.15,0.19,-0.41,-3.34
201911,3.87,0.45,-2.02,0.12,-2.63,-0.2,0.09
201912,2.77,0.97,1.79,0.14,-1.88,0.69,1.02
202001,-0.11,-4.38,-6.24,0.13,6.03,2.57,-5.17
202002,-8.13,0.02,-3.79,0.12,-0.36,-2.42,-1.65
202003,-13.38,-8.32,-14.02,0.12,8.16,-11.75,-8.62
202004,13.65,2.58,-1.18,0,-5.39,15.82,3.12
202005,5.58,1.97,-4.8,0.01,0.35,-3.24,-2.42
202006,2.46,1.97,-2.04,0.01,-0.78,-1.9,1.82
202007,5.77,-3.17,-1.53,0.01,7.63,-3.27,-0.11
202008,7.63,-0.92,-2.92,0.01,0.41,-2.28,1.93
202009,-3.63,-0.01,-2.62,0.01,3.18,0.46,-3.02
202010,-2.1,4.67,4.16,0.01,-3.1,0.64,-0.94
202011,12.47,7,2.13,0.01,-12.45,3.02,6.15
202012,4.63,4.72,-1.43,0.01,-2.26,-3.06,-0.7
202101,-0.03,6.77,2.99,0,4.52,0.74,9.32
202102,2.78,4.52,7.18,0,-7.93,4.5,4.23
202103,3.08,-0.92,7.41,0,-6.11,-0.87,3.3
202104,4.93,-3.1,-0.93,0,1.14,1.32,-1.9
202105,0.29,1.19,7.04,0,0.88,1.34,5.37
202106,2.79,-0.25,-7.76,0,2.24,3.11,-1.71
202107,1.19,-4.56,-1.75,0,-2.29,-0.58,-7.4
202108,2.91,-0.76,-0.07,0,2.51,-1.6,-1.09
